"TIMBALIER BAY",29.244726,90.378013,0.025872,0.155169,,,-1,0
"TERREBONNE BAY",29.200772,90.659059,0.024273,0.201196,,,-1,0
"Morgan City",29.698902,91.107095,0.031883,0.158078,29.698598,91.199892,-1,0
"Marsh Island",29.561010,91.868074,0.047804,0.249387,,,-1,0
"COTE BLANCHE BAY",29.614111,91.674673,0.030082,0.243279,,,-1,0
"WEEKS BAY",29.804396,91.912280,0.021649,0.127153,,,-1,0
"VERMILION BAY",29.715808,92.026867,0.034472,0.202563,,,-1,0
"Baton Rouge",30.426939,91.053360,0.044535,0.257459,30.467291,91.148298,-1,0
"Bonnet",30.049353,90.411413,0.012775,0.044697,,,-1,0
"Carre",30.038177,90.417217,0.012246,0.032161,,,-1,0
"Spillway",30.026592,90.409560,0.012248,0.047476,,,-1,0
"Slidell",30.277711,89.734191,0.028117,0.080954,30.277617,89.787923,-1,0
"Lake Borgne",29.987612,89.706462,0.037286,0.196861,,,-1,0
"Chef Menteur",30.070067,89.755740,0.014681,0.072912,30.070611,89.797224,-1,0
"Rigolets",30.146525,89.599174,0.016562,0.058232,30.148595,89.641851,-1,0
"Bay St. Louis",30.321180,89.268093,0.02716,0.124366,30.321342,89.343193,-1,0
"Lake Pontchartrain",30.170383,90.149518,0.099517,0.469428,,,-1,0
"New Orleans",29.996090,90.140180,0.056867,0.271185,,,-1,0
"Chandeleur",29.811381,88.759630,0.029054,0.113502,,,-1,0
"Islands",29.781006,88.775260,0.022007,0.07588,,,-1,0
"Gulfport",30.342619,89.050867,0.03287,0.126024,30.372625,89.107246,-1,0
"Biloxi",30.373661,88.934977,0.035648,0.100571,30.401618,88.892179,-1,0
"Pascagoula",30.326898,88.455569,0.042879,0.192353,30.361196,88.551745,-1,0
"Gulf Shores",30.228932,87.640417,0.024652,0.146916,,,-1,0
"CHOCTAWATCHEE BAY",30.441096,86.367510,0.028384,0.303699,,,-1,0
"Santa Rosa Island",30.332400,86.924593,0.027118,0.206672,,,-1,0
"Perdido Key",30.279279,87.399415,0.024872,0.139961,,,-1,0
"Fort Morgan",30.205766,87.964493,0.026023,0.137346,,,-1,0
"Dauphin Island",30.218211,88.182937,0.024887,0.177895,,,-1,0
"Montgomery",32.376271,86.136900,0.051343,0.275967,32.376566,86.300136,-1,0
"Mobile",30.681999,88.203222,0.077606,0.212384,30.678680,88.065212,-1,0
"MOBILE BAY",30.350466,87.974909,0.075583,0.284063,,,-1,0
"Fort Walton Beach",30.421992,86.729411,0.026702,0.222124,30.411065,86.598667,-1,0
"Tallahassee",30.384487,84.212075,0.084218,0.319491,30.445527,84.294996,-1,0
"Pensacola",30.439748,87.029800,0.068647,0.289373,30.433589,87.213388,-1,0
"St. George Island",29.626266,84.772365,0.038026,0.24491,,,-1,0
"Cape San Blas",29.639429,85.463477,0.04387,0.224778,,,-1,0
"St. Marks",30.166017,84.116480,0.03637,0.144261,30.166017,84.207063,-1,0
"Apalachicola",29.724220,84.817656,0.058446,0.312006,29.722759,84.995466,-1,0
"Port St. Joe",29.816241,85.393022,0.035039,0.191229,29.816241,85.287343,-1,0
"Panama City",30.177656,85.502057,0.053823,0.301942,30.174746,85.676512,-1,0
"Dunedin",28.0407145,82.848271,0.029929,0.13542,28.040002,82.769275,-1,0
"Crystal River",28.8928525,82.7436175,0.039985,0.193915,28.888856,82.621566,-1,0
"Cedar Key",29.129489,83.177074,0.049866,0.230416,,,-1,0
"Steinhatchee",29.679524,83.528402,0.043646,0.266918,29.679526,83.388099,-1,0
"APALACHEE BAY",30.0213635,84.1320725,0.059013,0.380225,,,-1,0
"Lighthouse Pt.",29.914757,84.221926,0.036102,0.227,,,-1,0
"Cape Sable",25.1902565,81.0109655,0.052135,0.230709,,,-1,0
"Chokoloskee",25.813425,81.2286515,0.040154,0.219545,25.810081,81.362612,-1,0
"Cape Romano",25.825972,81.6779755,0.045168,0.284665,,,-1,0
"Marco Island",25.930481,81.8733345,0.0468,0.284665,,,-1,0
"Tampa",27.932725,82.353589,0.050845,0.159137,27.956189,82.455260,-1,0
"St. Petersburg",27.773558,82.462628,0.058751,0.303539,27.773558,82.642394,-1,0
"Sarasota",27.324819,82.685125,0.061615,0.228392,27.320885,82.518620,-1,0
"Venice",27.144302,82.597604,0.06856,0.210588,27.142022,82.463205,-1,0
"Naples",26.180372,81.9187585,0.066066,0.219149,26.181144,81.780079,-1,0
"Cape Coral",26.568451,81.765526,0.065848,0.333858,26.564627,81.958137,-1,0
"Fort Myers",26.6442255,81.6628005,0.070395,0.330435,26.644231,81.853699,-1,0
"Sanibel Island",26.4006485,82.0848325,0.055207,0.270511,,,-1,0
"Captiva",26.5822345,82.309116,0.041341,0.154088,26.581471,82.213239,-1,0
"Port Charlotte",26.977347,81.830585,0.076292,0.429736,26.998712,82.083119,-1,0
"Straits of Florida",24.800958,80.430972,0.071296,0.552413,,,-1,0
"Key West",24.519370,81.744306,0.041375,0.148346,24.553635,81.798183,-1,0
"Boca Chica Key",24.551337,81.646329,0.018175,0.108326,,,-1,0
"NAS Key West",24.572278,81.624325,0.013253,0.08155,24.577580,81.670925,-1,0
